frame_skip,success_count,total_videos,accuracy,runtime,use_prefetch,sync_videos,sync_total_batches,sync_total_prepare_ms,sync_total_infer_ms,sync_avg_prepare_ms,sync_avg_infer_ms,sync_wait_ratio,sync_ideal_serial_ms,sync_ideal_overlap_ms,sync_ideal_saved_ms,sync_steady_batches,sync_steady_total_prepare_ms,sync_steady_total_infer_ms,sync_steady_avg_prepare_ms,sync_steady_avg_infer_ms,sync_steady_wait_ratio,runtime_without_profiler
19,49,50,98.0,844.24,False,50,2061.0,413901.4217136428,420833.32475367934,200.82553212694944,204.18890089940774,0.49584784084442746,834734.7464673221,432782.3122004047,401952.4342669174,1911.0,383402.4729174562,387948.8133378327,200.6292375287578,203.00827490205793,0.4970530026322709,845.85
20,50,50,100.0,822.49,False,50,1961.0,413997.5896771066,399029.2029483244,211.11554802504162,203.4825104274984,0.5092053465301218,813026.792625431,426601.4633360319,386425.3292893991,1811.0,381883.14767507836,366313.2725264877,210.8686624379229,202.27127141164422,0.5104049382810433,827.47
21,50,50,100.0,804.09,False,50,1870.0,414033.651559148,380569.36764344573,221.4083698177262,203.51303082537206,0.5210572343088272,794603.0192025937,425967.26738801226,368635.75181458145,1720.0,380364.40151324496,348038.6185464449,221.14209390304939,202.34803403863077,0.5221894899365944,808.03
22,50,50,100.0,787.58,False,50,1790.0,414294.0293671563,363826.030859258,231.44917841740576,203.2547658431609,0.5324294418609463,778120.0602264144,425979.1209488176,352140.9392775968,1640.0,378897.4063671194,331368.2576874271,231.03500388238987,202.0538156630653,0.5334587120601969,779.75
23,49,50,98.0,772.52,False,50,1708.0,414888.75908916816,348148.37833633646,242.9091095369837,203.8339451617895,0.5437333764500725,763037.1374255046,426366.0292509012,336671.10817460343,1558.0,377842.21047349274,315721.0511630401,242.5174650022418,202.64509060528889,0.5447840613442171,764.6
24,50,50,100.0,756.86,False,50,1638.0,413526.5237148851,333891.1997182295,252.45819518613254,203.84078126876037,0.5532736390240156,747417.7234331146,424758.1587121822,322659.5647209324,1488.0,374972.6374242455,301244.7720072232,251.99774020446606,202.44944355324142,0.5545149122077528,750.36
25,49,50,98.0,743.10,False,50,1579.0,413662.16962412,319968.5297938995,261.97730818500315,202.63998087010734,0.5638561335454919,733630.6994180195,424769.43479385227,308861.26462416723,1429.0,373519.7804137133,287698.6492150463,261.3854306604012,201.3286558537763,0.5648962032462177,736.34
26,43,50,86.0,732.02,False,50,1511.0,414403.40653341264,308162.32745628804,274.25771444964437,203.9459480187214,0.5735165494843669,722565.7339897007,425032.5676635839,297533.16632611677,1361.0,372559.9584034644,275503.8513774052,273.739866571245,202.4275175440156,0.5748815977387132,725.87
27,40,50,80.0,720.60,False,50,1460.0,414608.8597336784,296500.24639070034,283.97867105046464,203.08236054157558,0.5830453529041988,711109.1061243787,425012.19994574785,286096.9061786309,1310.0,371278.1826076098,264293.74127136543,283.418460005809,201.75094753539346,0.5841639138835016,714.07
28,44,50,88.0,710.31,False,50,1407.0,415010.1324734278,285843.78592297435,294.9610038901406,203.15834109664132,0.5921492647469196,700853.9183964022,425317.1975123696,275536.72088403255,1257.0,369948.7048825249,253593.5506746173,294.3108232955648,201.745068158009,0.5933017395139819,703.36
29,42,50,84.0,701.13,False,50,1360.0,415189.9367249571,276450.90056583285,305.2867181801155,203.27272100428885,0.6002970246107607,691640.8372907899,425600.3071363084,266040.53015448153,1210.0,368586.5443064831,244140.68457484245,304.61697876568854,201.7691608056549,0.6015507830122417,694.22
30,40,50,80.0,692.46,False,50,1317.0,415551.2338532135,267412.2774088755,315.5286513691826,203.04652802496244,0.6084530534951874,682963.511262089,425813.459971454,257150.05129063502,1167.0,367275.7485178299,235116.75532488152,314.71786505383886,201.4710842543972,0.6096950844755653,686.09
31,42,50,84.0,684.00,False,50,1273.0,415815.42759248987,258633.53479932994,326.64212693832667,203.16852694369987,0.6165261580622347,674448.9623918198,425791.7429166846,248657.2194751352,1123.0,365821.92108780146,226445.91713137925,325.7541594726638,201.64373742776425,0.6176629853610606,677.06
32,46,50,92.0,675.28,False,50,1238.0,414950.62194019556,250838.65067828447,335.1782083523389,202.61603447357388,0.6232461816457889,665789.27261848,424778.4461854026,241010.82643307745,1088.0,363400.3381920047,218428.2227200456,334.0076637794161,200.76123411768896,0.6245831892857799,669.04
33,44,50,88.0,668.19,False,50,1195.0,416217.60728163645,242482.7079665847,348.2992529553443,202.91439997203742,0.6318770427865827,658700.3152482212,425893.5996503569,232806.71559786424,1045.0,363042.64411656186,210365.60609936714,347.4092288196764,201.30680009508816,0.6331311835500271,661.25
34,48,50,96.0,662.03,False,50,1163.0,417096.43201716244,235452.31555216014,358.6383766269669,202.45254991587288,0.6391804958185934,652548.7475693226,426557.1568487212,225991.59072060138,1013.0,362227.0964360796,203438.74484859407,357.5785749615791,200.8279810943673,0.6403552592347301,655.44
35,41,50,82.0,653.84,False,50,1133.0,415239.65500853956,229099.31789617985,366.49572374981426,202.20592929936439,0.6444428669844587,644338.9729047194,425035.25512991473,219303.71777480468,983.0,358907.9576372169,197177.3978159763,365.1149111263651,200.58738333263102,0.6454188266560568,648.42
36,39,50,78.0,648.09,False,50,1100.0,416283.6737851612,222321.8201478012,378.43970344105566,202.11074558891016,0.6518635961325756,638605.4939329624,425542.09420690313,213063.3997260593,950.0,358332.59052829817,190426.8350172788,377.19220055610333,200.4493000181882,0.6529866711119231,641.47
37,41,50,82.0,643.65,False,50,1071.0,416584.58361029625,217539.33498915285,388.96786518234944,203.11795984047885,0.6569450723927597,634123.9185994491,426193.8275634311,207930.09103601798,921.0,356879.65948460624,185348.396231886,387.49148695396985,201.2469014461303,0.6581726189232867,636.26
38,46,50,92.0,635.22,False,50,1044.0,415598.1058832258,210157.50833507627,398.08247689964156,201.30029534011138,0.664154018661731,625755.6142183021,424782.068378292,200973.54584001005,894.0,354392.87092071027,178383.74241394922,396.41260729385937,199.53438748763895,0.6651809821428863,630.36
39,46,50,92.0,631.47,False,50,1018.0,417337.5580618158,204605.54685723037,409.9583085086599,200.98776705032452,0.6710220834687715,621943.1049190462,426509.99052776024,195433.11439128593,868.0,354461.72992838547,172902.035117615,408.3660483045916,199.19589299264402,0.6721389549725056,625.21
40,46,50,92.0,626.36,False,50,991.0,416242.0017309487,200634.09282593057,420.02220154485235,202.45619861345162,0.6747578734266679,616876.0945568793,425850.9022751823,191025.19228169695,841.0,351700.9022384882,168516.95728534833,418.1937006402951,200.37688143323226,0.6760646444556995,620.21
41,45,50,90.0,620.12,False,50,972.0,415743.09158092365,194843.9544835128,427.71923002152636,200.45674329579506,0.6808907825028583,610587.0460644364,424573.91462661326,186013.13143782318,822.0,349805.5278714746,163193.44260916114,425.5541701599448,198.53216862428363,0.6818834890521054,614.46
42,45,50,90.0,611.76,False,50,944.0,410868.494885508,191501.8277624622,435.24204966685164,202.86210568057436,0.6820862174606532,602370.3226479702,420109.0925098397,182261.2301381305,794.0,343893.75296607614,159249.72195643932,433.11555789178357,200.56640044891603,0.6834904358424511,611.55
43,47,50,94.0,608.54,False,50,930.0,411502.1010003984,187574.10894986242,442.47537741978323,201.69259026866928,0.6868944120391014,599076.2099502608,420722.94583544135,178353.26411481947,780.0,342826.8585810438,155761.70995319262,439.52161356544076,199.69449993999055,0.687594702760423,606.24
44,48,50,96.0,603.05,False,50,905.0,411565.7197786495,182081.84943161905,454.7687511366293,201.19541373659564,0.6932829192346498,593647.5692102686,420292.2776956111,173355.29151465744,755.0,341342.21601858735,150346.5523114428,452.10889538885743,199.1345063727719,0.6942241474783328,602.22
45,42,50,84.0,597.51,False,50,890.0,410104.5426512137,177940.09382324293,460.7916209564199,199.932689689037,0.6974037636155312,588044.6364744566,418726.21102211997,169318.42545233667,740.0,338555.8191947639,146469.0741901286,457.50786377670795,197.9311813380116,0.698017408615977,598.64
46,42,50,84.0,593.37,False,50,863.0,409582.1037115529,174399.22204008326,474.60266942242515,202.08484593288907,0.7013616457416397,583981.3257516362,418566.497170832,165414.82858080417,713.0,336375.61776302755,142690.0290362537,471.77505997619573,200.12626793303463,0.702149319222552,594.0
47,44,50,88.0,587.24,False,50,850.0,408103.8079634309,169813.6285734363,480.122127015801,199.78073949816033,0.7061628221653352,577917.4365368672,416751.32461916655,161166.11191770062,700.0,333527.9891346581,138275.56524146348,476.46855590665444,197.53652177351927,0.7069213151132157,590.29
48,46,50,92.0,585.02,False,50,832.0,408143.0770182051,167578.95759213716,490.5565829545734,201.4170163367033,0.7089238425526687,575722.0346103422,416716.09168080613,159005.9429295361,682.0,331848.9204738289,135910.2528374642,486.58199482966114,199.2818956561059,0.7094439604992699,586.37
49,49,50,98.0,581.12,False,50,814.0,407881.2201335095,163929.74832700565,501.0825800165964,201.38789720762367,0.7133147886820815,571810.9684605151,416143.10862962157,155667.85983089358,664.0,330242.9722202942,132211.95690799505,497.35387382574424,199.1143929337275,0.7141084491039797,584.16
50,43,50,86.0,577.10,False,50,805.0,407837.06064755097,159913.0211211741,506.6298890031689,198.64971567847715,0.7183390610477869,567750.0817687251,416517.41610467434,151232.66566405073,655.0,328492.1026369557,128454.12012422457,501.5146605144362,196.11316049499933,0.7188856943646059,579.58
51,46,50,92.0,575.36,False,50,779.0,409073.67603480816,157001.54843134806,525.1266701345419,201.5424241737459,0.7226489666997686,566075.2244661562,417608.52628713474,148466.69817902148,629.0,328018.27682042494,125471.58843232319,521.4916960579093,199.47788304025943,0.7233199724046897,577.91
52,47,50,94.0,571.28,False,50,768.0,408290.61471764,153723.22786273435,531.6284045802604,200.1604529462687,0.7264778619029282,562013.8425803743,416484.7561372444,145529.08644312993,618.0,325708.76301266253,122327.74524297565,527.0368333538229,197.9413353446208,0.7269692469498953,574.04
53,43,50,86.0,569.26,False,50,756.0,408691.2018014118,151243.2323358953,540.5968277796452,200.05718562949113,0.7298911745463251,559934.4341373071,417245.33754680306,142689.09659050405,606.0,324603.34354732186,119694.52295871451,535.6490817612572,197.51571445332428,0.7305984746224546,573.35
54,40,50,80.0,566.57,False,50,743.0,408830.8470272459,148423.03046258166,550.2434011133862,199.7618175808636,0.733652763205238,557253.8774898276,416763.64527316764,140490.23221665993,593.0,322983.6084879935,116951.56438043341,544.6603853085893,197.22017602096696,0.7341618229388281,568.74
55,43,50,86.0,563.91,False,50,730.0,408935.45711180195,145658.0744786188,560.1855576874,199.53160887482028,0.7373606683422497,554593.5315904208,417098.298070021,137495.23352039978,580.0,321479.95365504175,113997.2414355725,554.2757821638651,196.54696799236638,0.7382245437402235,565.76
56,45,50,90.0,561.68,False,50,716.0,409178.2128526829,143206.74730325118,571.4779509115683,200.0094236078927,0.7407482867331765,552384.9601559341,417974.7120169923,134410.24813894182,566.0,320024.4846804999,111673.31405030563,565.414283887809,197.30267500053998,0.7413159984168863,564.14
57,46,50,92.0,558.84,False,50,701.0,408916.65992792696,140644.96416039765,583.3333237202952,200.6347562915801,0.7440779013750891,549561.6240883246,417112.39750823006,132449.22658009455,551.0,318385.47596521676,109306.54125101864,577.832079791682,198.37847776954382,0.7444269781735126,561.94
58,45,50,90.0,556.15,False,50,693.0,408699.28183360025,138116.6989817284,589.7536534395387,199.30259593323,0.7474164914204032,546815.9808153287,416455.58524597436,130360.3955693543,543.0,316572.05896265805,106707.27539248765,583.0056334487257,196.51431932318167,0.7479034133451047,557.76
59,47,50,94.0,553.74,False,50,683.0,408594.4015667774,135798.63890865818,598.2348485604354,198.82670411223745,0.7505503766358553,544393.0404754356,416826.97247946635,127566.0679959692,533.0,314889.29865369573,104337.81845727935,590.7866766485848,195.75575695549597,0.7511186318854931,556.86
60,44,50,88.0,552.19,False,50,669.0,408831.9534212351,134022.18168182299,611.1090484622348,200.3321101372541,0.7531156658567585,542854.1351030581,417268.2048007846,125585.93030227348,519.0,313549.8061692342,102396.80068707094,604.1422084185631,197.29634043751625,0.7538222478577733,554.04
61,44,50,88.0,549.31,False,50,661.0,408488.0490815267,131445.86532004178,617.9849456604035,198.85910033289224,0.7565519375353008,539933.9144015685,416370.39441103116,123563.51999053732,511.0,311721.9116203487,99990.1522421278,610.0233104116413,195.6754447008372,0.7571357241658867,553.19
62,43,50,86.0,547.91,False,50,652.0,409137.4306147918,129395.07178263739,627.5113966484537,198.45869905312483,0.7597265323697278,538532.5023974292,416912.12902823463,121620.37336919457,502.0,310409.5091568306,97982.94498911127,618.345635770579,195.18514938069976,0.7600765048560443,550.8
63,42,50,84.0,545.91,False,50,642.0,409176.53107689694,127372.04590905458,637.3466216151043,198.3988254035118,0.7626085477207586,536548.5769859515,417256.55407458544,119292.02291136608,492.0,309114.9493274279,95910.24074703455,628.2824173321706,194.93951371348487,0.7631993192092508,548.08
64,45,50,90.0,543.23,False,50,629.0,408339.96202610433,125569.58790170029,649.1891288173359,199.63368505834703,0.7648111221859946,533909.5499278046,416759.6908165142,117149.85911129043,479.0,306847.0835303888,93777.24403189495,640.5993393118764,195.77712741522956,0.7659222429089345,546.63
