frame_skip,success_count,total_videos,accuracy,runtime,runtime_without_profiler,use_prefetch,prefetch_videos,prefetch_total_batches,prefetch_avg_wait_ms,prefetch_avg_infer_ms,prefetch_avg_prepare_ms,prefetch_wait_ratio,prefetch_steady_batches,prefetch_steady_avg_wait_ms,prefetch_steady_avg_infer_ms,prefetch_steady_avg_prepare_ms,prefetch_steady_wait_ratio
1,50,50,100.0,7801.17,7777.04,True,50,38776.0,0.020748470675093392,201.06945466837422,13.29842903465878,0.00010317991802288992,38426.0,0.007035189679000396,201.02370439848576,13.306540505087478,3.499559168619094e-05
2,50,50,100.0,3920.36,3906.35,True,50,19399.0,0.06167946356088053,201.8575079090639,24.539924975926482,0.00030546608454329945,19049.0,0.006977674999686513,201.70152350136965,24.56959341936503,3.4592865243619005e-05
3,50,50,100.0,2607.88,2605.28,True,50,12940.0,0.12941595441856102,201.1650606115756,35.98454082039238,0.0006429185570630006,12590.0,0.006787952056378008,200.99707973427107,36.061111120603286,3.377025593841213e-05
4,50,50,100.0,1966.63,1961.11,True,50,9709.0,0.22736522374362542,202.02443029558657,47.07317993450418,0.0011241691237391012,9359.0,0.006969515369566782,201.3077974206115,47.20910973962345,3.461999075201032e-05
5,50,50,100.0,1575.57,1569.19,True,50,7775.0,0.35018165850371025,201.92090724627832,58.20651549821977,0.0017312491884025802,7425.0,0.006931899209516217,201.3438542326442,58.448151144628675,3.442697862116559e-05
6,50,50,100.0,1314.32,1313.65,True,50,6481.0,0.5017617253807661,201.85135252017324,69.10215397640577,0.0024796343127780167,6131.0,0.007002711353197395,201.12228777081557,69.2203008367593,3.48169644332247e-05
7,50,50,100.0,1136.90,1135.63,True,50,5558.0,0.6786505837488106,203.3583456867372,79.20436521981364,0.0033261153425780798,5208.0,0.007083457637114734,202.25282698952321,79.24441039802208,3.502156023630424e-05
8,50,50,100.0,997.63,997.17,True,50,4868.0,0.8814168625052837,203.46540305084315,89.89323848103163,0.004313337799330767,4518.0,0.007413760167326005,202.74778315642845,89.95620002023935,3.656508084661168e-05
9,50,50,100.0,888.01,887.53,True,50,4331.0,1.1137477388892334,203.26069401296706,101.29924248830878,0.0054495451062393716,3981.0,0.0073348920155083585,202.5793941385756,101.49048147168637,3.6206182165075395e-05
10,50,50,100.0,800.07,798.46,True,50,3900.0,1.3708239232595913,203.05194825495187,112.45945741303073,0.006705827871586314,3550.0,0.0070941703997447455,202.32340350406062,112.70605845901538,3.5062289082879146e-05
11,50,50,100.0,728.34,727.61,True,50,3544.0,1.661959854764002,203.06443642145842,123.93933681954586,0.008117955891343087,3194.0,0.006772244772503506,202.19691629033434,124.25371798008456,3.349219206418032e-05
12,50,50,100.0,668.75,667.24,True,50,3251.0,1.97953078165302,202.86613717283888,135.13286757735253,0.009663522794598643,2901.0,0.0067576059737069075,202.06194874785277,135.63298552320492,3.3442120235451935e-05
13,50,50,100.0,617.13,616.42,True,50,3001.0,2.3174842623127914,202.37107796055133,145.9877888657468,0.01132200176280255,2651.0,0.006552739086431272,201.50475213441172,146.39062922931322,3.251797257997432e-05
14,50,50,100.0,573.91,572.76,True,50,2791.0,2.681844630513897,201.95590288754366,156.17944469938368,0.013105327160020865,2441.0,0.006448239429912231,201.36702466765263,156.92963317057232,3.2021295242236574e-05
15,49,50,98.0,537.41,536.8,True,50,2610.0,3.0841371344252564,201.7484256540964,167.13266725726854,0.015056869339712613,2260.0,0.005784111130422195,201.56046817907486,168.34307094104588,2.8695831096241752e-05
16,49,50,98.0,505.90,505.88,True,50,2450.0,3.525003238714167,201.82435018428583,178.9592438126553,0.017165884284295704,2100.0,0.004885346806120305,201.9354794032517,180.51548799366824,2.4192027246097636e-05
17,50,50,100.0,479.24,479.03,True,50,2301.0,4.1312000986232364,202.9361371341518,191.91137439239833,0.019950998326593312,1985.0,0.0567684151814026,202.46071385956307,193.30023366052384,0.0002803136526474679
18,49,50,98.0,466.08,465.9,True,50,2177.0,9.654830348732263,203.1177056512248,203.4210092242641,0.04537629964016686,1919.0,5.471505057270512,203.08700853637447,205.18044693688626,0.026234867917840885
19,49,50,98.0,462.31,464.36,True,50,2061.0,19.594662358477343,203.3696723505421,213.64359192307072,0.08788249647213488,1809.0,15.685217338935933,203.16667104991447,215.3665716546207,0.07167046834463134
20,50,50,100.0,463.23,463.73,True,50,1961.0,31.101485241768707,203.6969904295819,225.26570368313108,0.13246033711607927,1712.0,27.454928629357088,203.77827880775695,227.41192539068044,0.11873263764169183
21,50,50,100.0,462.99,464.49,True,50,1870.0,42.34395657870221,203.76982109566384,236.35558857517765,0.17205032964358277,1627.0,38.75201911572195,204.26163372921985,238.9697051714687,0.1594643702609092
22,50,50,100.0,460.65,463.0,True,50,1790.0,52.49656671033808,203.31881353423498,245.67657736124855,0.2052127071489934,1546.0,48.97240760349422,204.4240819226425,249.05861488074777,0.19326395442602531
23,49,50,98.0,458.03,458.94,True,50,1708.0,62.145416938647436,204.40916393815914,256.1124983678225,0.2331433087145819,1471.0,58.50885775893734,204.80083956976404,258.98751328565703,0.22220548028619677
24,50,50,100.0,454.23,452.3,True,50,1638.0,71.54132255156307,204.08604455792252,264.8767670755808,0.259558124803859,1401.0,67.84564270229104,204.54383382658813,267.9154173598002,0.24907585846143276
25,49,50,98.0,453.37,450.14,True,50,1579.0,81.81036625999988,203.56896605214047,274.1977317934647,0.2866723584962267,1337.0,78.20181256346822,204.93098861755902,278.5365981577144,0.2762018820753585
26,43,50,86.0,449.35,450.11,True,50,1511.0,90.26202461931886,205.29204534957202,284.03026091574657,0.3053993627251331,1282.0,86.21912193666219,205.48639012654652,286.88253580872987,0.2955690529357547
27,40,50,80.0,446.59,448.18,True,50,1460.0,99.4381985247569,204.54597364288233,292.43799731907217,0.32711636864408566,1225.0,95.62508099465346,205.64954359046354,296.3780509977012,0.3174017099061621
28,44,50,88.0,445.12,446.93,True,50,1407.0,109.65185859038705,204.7295581007293,302.4043541106408,0.3487860693054931,1175.0,105.58881216147479,205.6024361318572,306.2288794943944,0.3393052109934192
29,42,50,84.0,444.02,446.84,True,50,1360.0,119.58303401958855,204.84834427787814,312.0349888659,0.3685926886823636,1131.0,115.64355866183139,205.9979881077616,316.3920334041297,0.35954173154338176
30,40,50,80.0,443.88,444.11,True,50,1317.0,129.95805768345625,204.87732492774816,322.07626207599424,0.38812522341570255,1084.0,126.30572602474147,206.13594170156315,327.04533989424385,0.37993349897620887
